Name,JAPAN-DS Market - DIVIDEND YIELD,JAPAN-DS Market - PRICE INDEX,JAPAN-DS Market - TOT RETURN IND,JAPAN-DS Market - PER,JAPAN-DS Market - PRICE/BOOK RATIO,JAPAN-DS Market - PE RATIO 12M FWD,JAPAN-DS Market - MARKET VALUE,JAPAN-DS Market - ROE,JAPAN-DS Market - TOTAL ASSETS,JAPAN-DS Market - NET DEBT,FTSE JAPAN - PRICE INDEX,NIKKEI STOCK AVERAGE VOLATILITY INDEX - PRICE INDEX,JP ISSUES: CORPORATE STRAIGHT BONDS CURN,JP STOCKS: PUBLIC OFFERINGS - AMOUNT RAISED CURN,JP OVERNIGHT UNCOLLATERISED CALL MONEY RATE (AVG.) NADJ,JP CPI: NATIONAL MEASURE - ANNUAL INFLATION RATE NADJ,"JP MONEY SUPPLY: M2 (METHO-BREAK, APR. 2003) CURA",JP JAPANESE YEN TO US $ NADJ,JP PETROLEUM: CONSUMPTION VOLN,JP UNEMPLOYMENT RATE (METHO BREAK OCT 2010) SADJ,JP INDUSTRIAL PRODUCTION - MINING & MANUFACTURING VOLA
31/12/1989,0.43,768.21,1007.32,60.6,4.05,40.88,535950600,8.35,3.37897E+11,63179940000,179.43,20.32,15000,13236.45,6.448,2.64,455632.2,143.7079,6252.45,2.1,104.4
31/01/1990,0.45,730.66,958.47,57.4,3.82,40.78,513422800,8.23,3.40735E+11,63254620000,169.2,17.56,0,3668.14,6.581,3.34,461555.6,144.9468,5702.94,2.2,103.5
28/02/1990,0.49,681.56,894.37,53.3,3.59,38.91,479338500,8.22,3.41067E+11,63195190000,156.75,15.92,144000,4862.99,6.643,3.82,469357.7,145.615,6045.61,2.2,104.4
30/03/1990,0.56,593.94,779.75,46.5,3.1,35.38,418150400,8.23,3.41119E+11,63194550000,134.73,28.07,120000,7573.41,6.817,3.56,471653.1,153.1964,5666.58,2,106.4
30/04/1990,0.56,591.61,777.05,46.4,2.98,30.98,420146400,7.91,3.99883E+11,69288130000,134.76,55.05,310000,1176.16,7.163,2.71,479005.5,158.3026,4826.67,2.1,106.4
31/05/1990,0.52,649.36,853.3,50,3.27,32.5,461500400,7.91,3.99954E+11,69272400000,149.34,17.79,245000,0,7.259,2.58,481302.1,153.801,4630.68,2.1,107.2
29/06/1990,0.54,625.47,822.26,49.6,3.14,35.06,446524200,7.91,3.99954E+11,69272400000,141.73,20.23,215000,62.54,7.365,2.36,482458.7,153.7429,4687.47,2.2,107.4
31/07/1990,0.56,600.91,790.34,47.8,3.04,33.39,431429100,7.98,4.0125E+11,69264670000,134.8,21.18,35000,0,7.524,2.25,485995.5,149.0486,5128.19,2.1,108.5
31/08/1990,0.64,527.45,694.1,41.7,2.65,30.39,379286800,7.98,4.01324E+11,69227770000,118.86,39.23,100000,0,7.543,2.82,488792.1,147.4855,5392.13,2,109.1
28/09/1990,0.8,420.02,553.03,33.3,2.15,27.63,302039600,7.98,4.01324E+11,69227770000,94.7,38.9,40000,52.41,7.763,2.8,492539.1,138.6645,5169.4,2.1,108.5
