Name,JAPAN-DS Market - DIVIDEND YIELD,JAPAN-DS Market - PRICE INDEX,JAPAN-DS Market - TOT RETURN IND,JAPAN-DS Market - MARKET VALUE,US REFINERS ACQUISITION COST OF DOM. & IMPORTED CRUDE OIL CURN,WD CRUDE OIL PRODUCTION - WORLD VOLN,JP INDUSTRIAL PRODUCTION - MINING & MANUFACTURING VOLA,NIKKEI STOCK AVERAGE VOLATILITY INDEX - PRICE INDEX,JP UNEMPLOYMENT RATE (METHO BREAK OCT 2010) SADJ,"JP MONEY SUPPLY: M2 (METHO-BREAK, APR. 2003) CURA",JP PETROLEUM: CONSUMPTION VOLN
30/11/1989,0.44,755.76,990.66,525260000,18.39,53478.675,104,8.68,2.2,449496.1,5396.87
29/12/1989,0.43,768.21,1007.32,535950600,19.54,53091.781,104.4,20.32,2.1,455632.2,6252.45
31/01/1990,0.45,730.66,958.47,513422800,20.64,52775.965,103.5,17.56,2.2,461555.6,5702.94
28/02/1990,0.49,681.56,894.37,479338500,20.31,52968.492,104.4,15.92,2.2,469357.7,6045.61
30/03/1990,0.56,593.94,779.75,418150400,19.14,53715.599,106.4,28.07,2,471653.1,5666.58
30/04/1990,0.56,591.61,777.05,420146400,17.05,53363.527,106.4,55.05,2.1,479005.5,4826.67
31/05/1990,0.52,649.36,853.3,461500400,16.27,52895.727,107.2,17.79,2.1,481302.1,4630.68
29/06/1990,0.54,625.47,822.26,446524200,15.11,52041.066,107.4,20.23,2.2,482458.7,4687.47
31/07/1990,0.56,600.91,790.34,431429100,16.19,52150.542,108.5,21.18,2.1,485995.5,5128.19
31/08/1990,0.64,527.45,694.1,379286800,23.55,48455.131,109.1,39.23,2,488792.1,5392.13
28/09/1990,0.8,420.02,553.03,302039600,30.03,50991.593,108.5,38.9,2.1,492539.1,5169.4
31/10/1990,0.67,501.25,660.39,360582100,33.14,51404.185,110.6,46.85,2.2,495496.5,5051.23
30/11/1990,0.76,446.48,588.6,321194800,30.52,51955.42,109.8,34.48,2,493905.5,5326.53
31/12/1990,0.72,469.72,619.59,338872600,26.09,52099.127,109.8,29.3,2,494983.5,6059.84
31/01/1991,0.73,465.91,614.97,336811800,22.85,51993.679,110.8,26.11,2,496005.5,5973.13
28/02/1991,0.64,529.64,699.44,383005200,19.03,51604.69,111,21.12,2.1,496075.5,6210.36
29/03/1991,0.64,533.82,705.33,386025700,17.89,51859.83,109.8,25.03,2.2,496187.9,5815.58
30/04/1991,0.64,532.23,703.61,386997800,18.46,50552.204,110.3,16.3,2.1,497177,5080.9
31/05/1991,0.66,533,705.03,387928100,18.7,50350.787,111.4,14.56,2.1,498449.9,4904.48
28/06/1991,0.71,495.5,655.77,360651500,17.98,50626.544,108,20.94,2.1,499766.8,4810.5
31/07/1991,0.69,506.04,670.14,373578000,18.57,51502.732,110.6,18.89,2.1,501911.6,5102.84
30/08/1991,0.74,472.73,626.42,348982500,18.92,50814.237,109,24.56,2.1,501868.7,5020.77
30/09/1991,0.7,498.2,660.55,368021000,19.17,52080.815,108.9,20.07,2.1,503748,4838.53
31/10/1991,0.68,511.26,678.28,378591700,20.16,51856.866,108.2,15.13,2,505352.6,4950.94
29/11/1991,0.75,468.98,622.55,347921200,19.72,52098.116,108.9,21.53,2.1,505863.3,5682.27
31/12/1991,0.75,463.81,616.09,345052700,17.56,52534.456,107.4,22.03,2.1,505528.1,6010.74
31/01/1992,0.79,442.56,588.27,329258000,16.5,51697.444,106.5,27.04,2.1,505380,5771.87
28/02/1992,0.83,423.74,563.61,315290400,16.3,50905.761,106.1,25.37,2,504577.9,6299.14
31/03/1992,0.91,386.2,514.05,287309800,16.56,50168.605,104.4,26.91,2.1,505473.8,5858.03
30/04/1992,0.97,361.44,481.5,268948200,17.66,50515.562,104.1,23.59,2.1,504758.6,5202.77
29/05/1992,0.93,375.85,501.08,279755300,18.83,49530.964,101.6,30.7,2.1,503391.2,4796.61
30/06/1992,1.03,338.53,451.7,252039900,19.99,49744.509,103.9,31.93,2.1,503733.1,4926.8
31/07/1992,1.04,334.3,446.45,249002400,20.1,50140.157,103.5,29.94,2.1,502558.3,5151.94
31/08/1992,0.92,377.45,504.51,281392100,19.56,50128.269,100.3,40.18,2.2,503017,4972.35
30/09/1992,0.98,356.42,476.78,265727600,19.59,50350.34,104.4,38.4,2.2,501433.8,5111.37
30/10/1992,1,349.07,467.33,260749600,19.49,51124.431,101,27.96,2.2,502133.1,5292.52
30/11/1992,0.95,361.17,483.92,269800200,18.66,51025.905,99.6,23.3,2.3,503120.5,5663.77
31/12/1992,0.96,358.53,480.79,267869700,17.43,51155.911,99,20.78,2.3,504020.5,6291.32
29/01/1993,0.97,357.17,479.35,266897100,17.11,60602.361,100.8,20.35,2.3,504400.2,5803.81
26/02/1993,0.97,354.07,475.54,264779900,17.64,60965.441,101.9,19.3,2.3,505420.9,6213.07
31/03/1993,0.87,397.43,534.21,297205000,18.08,60256.832,97.8,24.66,2.3,503831.3,6212.97
30/04/1993,0.77,449,603.93,336185100,18.42,59577.715,99.6,20.71,2.3,507085.2,5465.07
31/05/1993,0.75,450.56,606.4,337407000,18.16,59713.933,100.9,22.46,2.5,510144.3,4737.68
30/06/1993,0.77,434.67,585.39,325582800,17.26,59473.076,99.1,20.91,2.5,510372.8,4926.93
30/07/1993,0.73,457.2,616.13,342560800,16.1,60069.081,99.6,18.92,2.5,510281.6,4803.84
31/08/1993,0.72,466.73,629.36,350020600,15.83,59895.148,98.7,19.11,2.5,511337.5,4711.1
30/09/1993,0.74,449.83,606.95,340896000,15.59,59921.026,98.7,16.89,2.6,511222.8,4796.6
29/10/1993,0.74,451.6,609.7,345517800,15.81,60385.327,97.4,16.03,2.7,511569.3,4954.39
30/11/1993,0.85,382.63,516.92,292970200,14.51,60445.99,97.3,33.45,2.7,511091.6,5463.8
31/12/1993,0.81,401.52,542.83,307462900,12.51,60837.893,96.5,27.06,2.8,511478.2,6247.32
31/01/1994,0.72,455.22,615.81,348942800,12.83,61138.9,95.4,35.78,2.8,512523,5837.48
28/02/1994,0.72,456.96,618.52,350302200,13.07,60960.8,97,29.16,2.9,513031.8,6445.96
31/03/1994,0.75,436.66,591.42,335001100,13.16,60868.7,97.9,28.3,2.9,513767.5,6215.81
29/04/1994,0.73,446.12,604.59,342416100,14.64,60411,99,19.64,2.8,517625.6,5225.4
31/05/1994,0.7,466.46,632.54,358047200,15.8,60850.1,98.6,18.13,2.8,517905.8,4745.32
30/06/1994,0.7,464.48,630.23,356963300,17.21,61162,99.9,20.88,2.8,517675.5,5036.67
29/07/1994,0.71,454.12,616.51,349276200,17.62,60766,100.8,16.65,2.9,520216.7,5453.16
31/08/1994,0.71,456.21,619.75,352176100,16.92,60662,101.6,13.43,3,521298.6,5535.52
30/09/1994,0.74,438.66,596.28,340490200,16.18,61273,101,16.37,3,523492.1,5249.87
31/10/1994,0.74,440.16,598.68,344490500,16.31,61769,102,13.59,3,524419,5293.03
30/11/1994,0.76,422.51,575.03,330978300,16.54,61943,102.6,12.58,2.9,524990,5898.9
30/12/1994,0.74,433.37,590.19,339756000,16.03,62267,103.2,11.54,2.9,526717.9,6554.71
31/01/1995,0.8,403.21,549.48,316762600,16.54,61842.1,100.6,18.91,3,528391.4,5960.61
28/02/1995,0.86,371.99,507.25,292567600,17.18,62344.1,102.7,26.31,3,531014,6696.36
31/03/1995,0.89,363.81,496.49,286255900,17.26,61604.1,103.7,30.53,3.1,531857.5,6262.13
28/04/1995,0.89,369.16,504.14,290806800,18.43,62401.1,105,19.74,3.1,533202.1,5503.97
31/05/1995,0.91,348.33,476.07,274508800,18.62,62413,102.9,22.79,3,533291.6,4978.94
30/06/1995,0.94,334.93,458.11,264091100,17.69,61555,103.2,30.32,3.1,533589.2,4920.2
31/07/1995,0.85,372.71,510.14,294299900,16.68,62506.4,101.6,25.85,3.1,534354.9,5038.19
31/08/1995,0.79,399.64,547.41,315763500,16.75,62640.4,102.5,25.71,3.2,535411.2,5519.32
29/09/1995,0.78,404.53,554.45,319870700,16.91,63036.4,101.6,28.08,3.2,537587,5327.57
31/10/1995,0.8,397.46,545.12,315182100,16.55,62672.4,102.9,24.42,3.2,537803.6,5076.97
30/11/1995,0.77,415.09,569.68,329401900,16.62,62891.4,103.7,18.37,3.4,542286.7,5834.9
29/12/1995,0.73,440.11,604.39,349378300,17.54,63287.4,105,17.17,3.4,543587.7,6822.68
31/01/1996,0.72,448.71,616.59,356768000,17.74,63237.5,103.1,19.32,3.5,544421.8,6165.23
29/02/1996,0.74,435.24,598.44,346250000,17.95,63633.6,103.3,20.77,3.4,545554.1,6717.38
29/03/1996,0.71,455.51,626.68,362019100,19.76,63483.5,103.1,18.95,3.2,547677.8,6279.29
30/04/1996,0.68,475.48,654.53,382468900,21.63,63338.5,103.3,17.29,3.4,547976.5,5568.9
31/05/1996,0.69,466.65,642.76,375361300,20.61,63337.5,104.1,17.23,3.4,550174.9,4974.39
28/06/1996,0.68,476.54,656.73,383329000,19.31,63661,104.2,15.32,3.4,553304.3,4935.03
31/07/1996,0.73,443.17,611.13,356657400,19.76,63737,105,16.78,3.4,554019.8,5329.48
