Name,JAPAN-DS Market - MARKET VALUE,JAPAN-DS Market - PRICE INDEX
30/10/1988,388626200,585.76
30/11/1988,416910600,626.23
30/12/1988,431281700,645.93
30/01/1989,452533200,673.61
28/02/1989,448808700,665.72
30/03/1989,449285100,664.48
30/04/1989,455929300,671.73
30/05/1989,463011800,680.35
30/06/1989,453664800,661.2
30/07/1989,484607500,704.72
30/08/1989,483686700,702.73
30/09/1989,501123100,726.71
30/10/1989,495902000,715.99
30/11/1989,525260000,755.76
30/12/1989,535950600,768.21
30/01/1990,513532200,731.71
28/02/1990,479338500,681.56
30/03/1990,418150400,593.94
30/04/1990,420146400,591.61
30/05/1990,457961500,644.38
30/06/1990,446524200,625.47
30/07/1990,425885200,593.3
30/08/1990,375938800,522.79
30/09/1990,302039600,420.02
30/10/1990,362530300,503.96
30/11/1990,321194800,446.48
30/12/1990,338722000,469.71
30/01/1991,336582100,465.6
28/02/1991,383005200,529.64
30/03/1991,386025700,533.82
30/04/1991,386997800,532.23
30/05/1991,384665300,528.52
30/06/1991,360651500,495.5
30/07/1991,371311400,502.97
30/08/1991,348982500,472.73
30/09/1991,368021000,498.2
30/10/1991,376718800,508.81
30/11/1991,347921200,468.98
30/12/1991,345051900,463.81
30/01/1992,322701300,433.75
29/02/1992,315290400,423.74
30/03/1992,289572600,389.24
30/04/1992,268948200,361.44
30/05/1992,279755300,375.85
30/06/1992,252039900,338.53
30/07/1992,243959500,327.53
30/08/1992,280912400,377.13
30/09/1992,265727600,356.42
30/10/1992,260749600,349.07
30/11/1992,269800200,361.17
30/12/1992,267842200,358.53
30/01/1993,266897100,357.17
28/02/1993,264779900,354.07
30/03/1993,301330400,402.95
30/04/1993,336185100,449
30/05/1993,341149700,455.56
30/06/1993,325582800,434.67
30/07/1993,342560800,457.2
30/08/1993,346789400,462.42
30/09/1993,340896000,449.83
30/10/1993,345517800,451.6
30/11/1993,292970200,382.63
30/12/1993,307452700,401.52
30/01/1994,327085800,426.75
28/02/1994,350302200,456.96
30/03/1994,340475900,443.82
30/04/1994,342416100,446.12
30/05/1994,357153800,465.31
30/06/1994,356963300,464.48
30/07/1994,349276200,454.12
30/08/1994,351350500,455.15
30/09/1994,340490200,438.66
30/10/1994,340713000,435.35
30/11/1994,330978300,422.51
30/12/1994,339756000,433.37
30/01/1995,317047300,404.31
28/02/1995,292567600,371.99
30/03/1995,288347400,366.53
30/04/1995,290806800,369.16
30/05/1995,277326100,351.96
30/06/1995,264091100,334.93
30/07/1995,292224800,370.42
30/08/1995,314286100,397.83
30/09/1995,319870700,404.53
30/10/1995,312525600,394.22
30/11/1995,329401900,415.09
30/12/1995,349378300,440.11
30/01/1996,353749800,445.02
29/02/1996,346250000,435.24
30/03/1996,362019100,455.51
30/04/1996,382468900,475.48
30/05/1996,373457900,464.28
30/06/1996,383329000,476.54
30/07/1996,358144800,445.02
30/08/1996,349834200,432.12
30/09/1996,369132800,455.4
30/10/1996,355317500,437.56
30/11/1996,356469800,438.86
30/12/1996,340007200,416.9
30/01/1997,312820000,383.52
28/02/1997,323419400,396.48
30/03/1997,321339900,393.87
30/04/1997,337246200,413.36
30/05/1997,349732400,428.55
30/06/1997,365434600,447.74
30/07/1997,364129500,445.67
30/08/1997,339436000,414.52
30/09/1997,334918700,405.73
30/10/1997,309081600,372.85
30/11/1997,305662200,368.42
30/12/1997,290069500,349.63
30/01/1998,310412300,374.12
28/02/1998,310693900,374.3
30/03/1998,303524900,365.31
30/04/1998,301614100,362.59
30/05/1998,301389800,362.21
30/06/1998,303820000,364.81
30/07/1998,309780200,371.88
30/08/1998,270862100,324.58
