Name,JAPAN-DS Market - PER,JAPAN-DS Market - PRICE INDEX,JAPAN-DS Market - TOT RETURN IND,JAPAN-DS Market - DIVIDEND YIELD
31/12/1979,20.2,118.31,138.41,1.89
31/01/1980,20.5,120.37,141.06,1.85
29/02/1980,20.4,120,140.83,1.82
31/03/1980,19.6,116.55,136.99,1.9
30/04/1980,19.9,120,141.28,1.86
30/05/1980,19.8,119.65,141.08,1.86
30/06/1980,16.5,121.34,143.29,1.85
31/07/1980,17,120.57,142.61,1.83
29/08/1980,17.2,122.78,145.44,1.79
30/09/1980,17.4,125.59,148.99,1.76
31/10/1980,17.7,128.28,152.41,1.73
28/11/1980,20,127.25,151.4,1.75
31/12/1980,19.4,128.01,152.53,1.67
30/01/1981,20.1,132.45,158.03,1.62
27/02/1981,20.1,132.47,158.26,1.63
31/03/1981,21.4,139.54,166.93,1.57
30/04/1981,22.9,149.3,178.84,1.47
29/05/1981,22.9,149.53,179.33,1.47
30/06/1981,21,156.97,188.49,1.58
31/07/1981,21.1,158.93,191.11,1.58
31/08/1981,21.1,158.31,190.6,1.59
30/09/1981,19.6,146.1,176.15,1.73
30/10/1981,19.7,146.28,176.63,1.73
30/11/1981,19.8,147.56,178.41,1.72
31/12/1981,21.1,152.07,184.15,1.68
29/01/1982,21.4,155.24,188.24,1.65
26/02/1982,20.5,148.56,180.37,1.72
31/03/1982,19.6,140.96,171.42,1.83
30/04/1982,20.2,144.98,176.58,1.78
31/05/1982,20.3,145.14,177.03,1.78
30/06/1982,20.7,142.44,174,1.84
30/07/1982,20.1,139.07,170.16,1.89
31/08/1982,20.1,140.22,171.84,1.87
30/09/1982,20,139.03,170.64,1.89
29/10/1982,20.7,143.66,176.59,1.83
30/11/1982,22.4,155.05,190.87,1.7
31/12/1982,23.1,159.77,196.98,1.66
31/01/1983,22.7,157.19,194.06,1.68
28/02/1983,22.7,158.32,195.71,1.67
31/03/1983,23.8,166.02,205.52,1.6
29/04/1983,24.2,169,209.49,1.57
31/05/1983,24.7,172.3,213.85,1.54
30/06/1983,25,178.04,221.26,1.48
29/07/1983,26,182.61,227.2,1.45
31/08/1983,26,185.36,230.93,1.43
30/09/1983,26.5,188.93,235.65,1.41
31/10/1983,26.3,187.12,233.66,1.43
30/11/1983,27.1,187.86,234.88,1.42
30/12/1983,27.9,200.62,251.12,1.34
31/01/1984,29.8,213.07,266.99,1.26
29/02/1984,29.7,212.27,266.26,1.26
30/03/1984,33.2,238.72,299.75,1.14
30/04/1984,32.6,235.85,296.43,1.16
31/05/1984,28.6,210.48,264.83,1.3
29/06/1984,28.3,215.63,271.58,1.28
31/07/1984,26.9,206.9,260.88,1.34
31/08/1984,28.8,222.67,281.07,1.24
28/09/1984,29.2,225.77,285.26,1.23
31/10/1984,30.2,235.88,298.36,1.17
30/11/1984,30.5,239.24,302.91,1.16
31/12/1984,31,250.05,316.88,1.11
31/01/1985,30.6,253.71,321.83,1.09
28/02/1985,31.5,265.51,337.09,1.05
29/03/1985,31.9,269.46,342.39,1.04
30/04/1985,30.9,260.94,331.86,1.08
31/05/1985,31.8,268.81,342.2,1.05
28/06/1985,33,276.3,352.02,1.04
31/07/1985,31.4,264.3,337.03,1.09
30/08/1985,32.3,272.55,347.87,1.06
30/09/1985,32.7,275.04,351.36,1.06
31/10/1985,32.8,276.22,353.18,1.05
29/11/1985,31.8,270.36,346,1.08
31/12/1985,33.4,283.49,363.12,1.03
31/01/1986,32.8,281.17,360.48,1.04
28/02/1986,34.1,294.12,377.38,1
31/03/1986,39.8,344.53,442.4,0.86
30/04/1986,39,340.3,437.29,0.88
30/05/1986,40.4,352.58,453.41,0.85
30/06/1986,42,367.29,472.65,0.8
31/07/1986,45,388.24,499.95,0.76
29/08/1986,48.3,416.91,537.18,0.71
30/09/1986,48.6,418.03,538.96,0.71
31/10/1986,44.8,386.65,498.84,0.77
28/11/1986,47.8,409.08,528.09,0.73
31/12/1986,50.3,429.16,554.35,0.7
30/01/1987,56.9,477.36,616.96,0.62
27/02/1987,61.5,496.21,641.62,0.59
31/03/1987,67.2,544.53,704.42,0.54
30/04/1987,71.1,599.7,776.12,0.48
29/05/1987,72.8,613.09,793.74,0.47
30/06/1987,68,574.41,743.97,0.51
31/07/1987,68,577.45,748.25,0.51
31/08/1987,69.8,607.68,787.74,0.48
30/09/1987,69.5,608,788.49,0.48
30/10/1987,59.8,537.1,696.83,0.54
30/11/1987,58.6,525.89,682.59,0.55
31/12/1987,54.7,491.49,638.24,0.59
29/01/1988,59.7,538.59,699.73,0.54
29/02/1988,64.4,581.52,755.82,0.5
31/03/1988,65.5,598.76,778.57,0.49
29/04/1988,61.4,611.87,795.93,0.49
31/05/1988,58.7,589.96,767.75,0.5
30/06/1988,60.1,604.93,787.55,0.49
29/07/1988,60.9,619.52,806.88,0.48
31/08/1988,58.1,591.16,770.26,0.5
30/09/1988,58.5,595.47,776.21,0.5
31/10/1988,53.7,591.06,770.78,0.52
30/11/1988,57,626.23,817,0.49
30/12/1988,58.7,645.93,843.05,0.47
31/01/1989,60.3,673.16,878.93,0.46
28/02/1989,59.6,665.72,869.52,0.46
31/03/1989,59.5,667.48,872.18,0.47
28/04/1989,56.1,671.73,878.07,0.48
31/05/1989,57,684.02,894.5,0.48
30/06/1989,54.9,661.2,865.02,0.49
31/07/1989,58.8,712.57,932.59,0.46
31/08/1989,58,702.32,919.55,0.47
29/09/1989,59.9,726.71,951.84,0.45
31/10/1989,58.2,720.42,943.96,0.46
30/11/1989,59.6,755.76,990.66,0.44
29/12/1989,60.6,768.21,1007.32,0.43
31/01/1990,57.4,730.66,958.47,0.45
28/02/1990,53.3,681.56,894.37,0.49
30/03/1990,46.5,593.94,779.75,0.56
30/04/1990,46.4,591.61,777.05,0.56
31/05/1990,50,649.36,853.3,0.52
29/06/1990,49.6,625.47,822.26,0.54
31/07/1990,47.8,600.91,790.34,0.56
31/08/1990,41.7,527.45,694.1,0.64
28/09/1990,33.3,420.02,553.03,0.8
31/10/1990,40.1,501.25,660.39,0.67
30/11/1990,36.8,446.48,588.6,0.76
31/12/1990,38.6,469.72,619.59,0.72
31/01/1991,38.3,465.91,614.97,0.73
28/02/1991,43.5,529.64,699.44,0.64
29/03/1991,43.8,533.82,705.33,0.64
30/04/1991,43.6,532.23,703.61,0.64
31/05/1991,44.4,533,705.03,0.66
28/06/1991,41.3,495.5,655.77,0.71
31/07/1991,42.3,506.04,670.14,0.69
30/08/1991,39.6,472.73,626.42,0.74
30/09/1991,41.7,498.2,660.55,0.7
31/10/1991,44.1,511.26,678.28,0.68
29/11/1991,41.1,468.98,622.55,0.75
31/12/1991,40.5,463.81,616.09,0.75
31/01/1992,38.7,442.56,588.27,0.79
28/02/1992,37.2,423.74,563.61,0.83
31/03/1992,34,386.2,514.05,0.91
30/04/1992,31.8,361.44,481.5,0.97
29/05/1992,37.3,375.85,501.08,0.93
30/06/1992,33.7,338.53,451.7,1.03
31/07/1992,33.4,334.3,446.45,1.04
31/08/1992,38.5,377.45,504.51,0.92
30/09/1992,36.4,356.42,476.78,0.98
30/10/1992,36.7,349.07,467.33,1
30/11/1992,40.3,361.17,483.92,0.95
31/12/1992,40.3,358.53,480.79,0.96
29/01/1993,40.3,357.17,479.35,0.97
26/02/1993,40.3,354.07,475.54,0.97
31/03/1993,45.7,397.43,534.21,0.87
30/04/1993,51.8,449,603.93,0.77
31/05/1993,55.3,450.56,606.4,0.75
30/06/1993,57.8,434.67,585.39,0.77
30/07/1993,60.8,457.2,616.13,0.73
31/08/1993,62.5,466.73,629.36,0.72
30/09/1993,60.1,449.83,606.95,0.74
29/10/1993,60.2,451.6,609.7,0.74
30/11/1993,54,382.63,516.92,0.85
31/12/1993,57,401.52,542.83,0.81
31/01/1994,64.7,455.22,615.81,0.72
28/02/1994,65.7,456.96,618.52,0.72
31/03/1994,63,436.66,591.42,0.75
29/04/1994,63.9,446.12,604.59,0.73
31/05/1994,68.3,466.46,632.54,0.7
30/06/1994,72.5,464.48,630.23,0.7
29/07/1994,70.9,454.12,616.51,0.71
31/08/1994,69.2,456.21,619.75,0.71
30/09/1994,66.7,438.66,596.28,0.74
31/10/1994,67.5,440.16,598.68,0.74
30/11/1994,65.4,422.51,575.03,0.76
30/12/1994,67.1,433.37,590.19,0.74
31/01/1995,62.2,403.21,549.48,0.8
28/02/1995,57,371.99,507.25,0.86
31/03/1995,54.7,363.81,496.49,0.89
28/04/1995,55.7,369.16,504.14,0.89
31/05/1995,54.5,348.33,476.07,0.91
30/06/1995,52.3,334.93,458.11,0.94
31/07/1995,58,372.71,510.14,0.85
31/08/1995,62.4,399.64,547.41,0.79
29/09/1995,63.1,404.53,554.45,0.78
31/10/1995,61.7,397.46,545.12,0.8
30/11/1995,59.2,415.09,569.68,0.77
29/12/1995,62.7,440.11,604.39,0.73
31/01/1996,63.8,448.71,616.59,0.72
29/02/1996,62,435.24,598.44,0.74
29/03/1996,64.8,455.51,626.68,0.71
30/04/1996,67.5,475.48,654.53,0.68
31/05/1996,62.9,466.65,642.76,0.69
28/06/1996,64,476.54,656.73,0.68
31/07/1996,59.3,443.17,611.13,0.73
30/08/1996,58.5,432.12,596.26,0.74
30/09/1996,61.3,455.4,628.75,0.71
31/10/1996,57.5,434.19,599.85,0.75
29/11/1996,57.6,438.86,606.67,0.75
31/12/1996,54.7,416.9,576.69,0.79
31/01/1997,51.3,391.01,541.28,0.84
28/02/1997,51.6,396.48,549.2,0.83
31/03/1997,51.5,392.61,544.2,0.84
30/04/1997,50.7,413.36,573.36,0.79
30/05/1997,50.7,428.55,594.82,0.77
