Name,JAPAN-DS Market - PRICE INDEX
30/11/1989,755.76
01/12/1989,752.46
04/12/1989,756.28
05/12/1989,759.63
06/12/1989,764.02
07/12/1989,767.91
08/12/1989,765.93
11/12/1989,766.95
12/12/1989,765.1
13/12/1989,767.74
14/12/1989,765.63
15/12/1989,766.48
18/12/1989,769.22
19/12/1989,760.26
20/12/1989,759.04
21/12/1989,753.01
22/12/1989,748.71
25/12/1989,748.71
26/12/1989,764.13
27/12/1989,764.02
28/12/1989,764.86
29/12/1989,768.21
01/01/1990,768.21
02/01/1990,768.21
03/01/1990,768.21
04/01/1990,765.47
05/01/1990,756.12
08/01/1990,755.34
09/01/1990,752
10/01/1990,745.33
11/01/1990,750.91
12/01/1990,743.36
15/01/1990,743.37
16/01/1990,727.07
17/01/1990,726.16
18/01/1990,722.82
19/01/1990,722.06
22/01/1990,731.67
23/01/1990,732.47
24/01/1990,723.33
25/01/1990,724.74
26/01/1990,724.42
29/01/1990,731.08
30/01/1990,731.71
31/01/1990,730.66
01/02/1990,734.52
02/02/1990,736.61
05/02/1990,736.53
06/02/1990,737.41
07/02/1990,732.67
08/02/1990,731.11
09/02/1990,728.54
12/02/1990,728.55
13/02/1990,725.39
14/02/1990,725.38
15/02/1990,730.84
16/02/1990,731.74
19/02/1990,724.28
20/02/1990,718.01
21/02/1990,697.55
22/02/1990,695.52
23/02/1990,679.3
26/02/1990,651.51
27/02/1990,665.47
28/02/1990,681.56
01/03/1990,674.12
02/03/1990,675.32
05/03/1990,673.18
06/03/1990,672.94
07/03/1990,667.64
08/03/1990,672.93
09/03/1990,673.22
12/03/1990,665.12
13/03/1990,651.46
14/03/1990,641.89
15/03/1990,643.06
16/03/1990,640.89
19/03/1990,617.2
20/03/1990,602.63
21/03/1990,602.63
22/03/1990,576.5
23/03/1990,587.34
26/03/1990,616.67
27/03/1990,622.3
28/03/1990,613.7
29/03/1990,608.79
30/03/1990,593.94
02/04/1990,552.62
03/04/1990,564.59
04/04/1990,557.4
05/04/1990,554.6
06/04/1990,578.23
09/04/1990,597.72
10/04/1990,585.52
11/04/1990,584.68
12/04/1990,584.86
13/04/1990,581.06
16/04/1990,571.81
17/04/1990,571.73
18/04/1990,582.62
19/04/1990,594.29
20/04/1990,594.4
23/04/1990,590.06
24/04/1990,588.15
25/04/1990,590.98
26/04/1990,590.22
27/04/1990,591.66
30/04/1990,591.61
01/05/1990,595.29
02/05/1990,603.1
03/05/1990,603.1
04/05/1990,603.09
07/05/1990,615.25
08/05/1990,616.9
09/05/1990,618.12
10/05/1990,618.89
11/05/1990,629.04
14/05/1990,639.8
15/05/1990,640.22
16/05/1990,641.37
17/05/1990,640.07
18/05/1990,637.19
21/05/1990,632.63
22/05/1990,637.91
23/05/1990,639
24/05/1990,639.13
25/05/1990,645.64
28/05/1990,648.95
29/05/1990,642.98
30/05/1990,644.38
31/05/1990,649.36
01/06/1990,646.79
04/06/1990,646.97
05/06/1990,646.75
06/06/1990,646.29
07/06/1990,647.5
08/06/1990,642.8
11/06/1990,637.73
12/06/1990,634.64
13/06/1990,634.06
14/06/1990,640.21
15/06/1990,638.94
18/06/1990,635.13
19/06/1990,628
20/06/1990,632.04
21/06/1990,630.24
22/06/1990,624.75
25/06/1990,614
26/06/1990,620.02
27/06/1990,631.05
28/06/1990,627.4
29/06/1990,625.47
02/07/1990,626.45
03/07/1990,626.51
04/07/1990,629.96
05/07/1990,629.98
06/07/1990,630.78
09/07/1990,630.36
10/07/1990,623.87
11/07/1990,627.57
12/07/1990,628.21
13/07/1990,631.82
16/07/1990,639.81
17/07/1990,640.97
18/07/1990,637.82
19/07/1990,636.44
20/07/1990,628.91
23/07/1990,620.04
